date,half_day,evap_mm
2025-08-01,12–24,0.25297828971898184
2025-08-02,00–12,1.7534170176566022
2025-08-02,12–24,2.822959197753505
2025-08-03,00–12,1.985863372517997
2025-08-03,12–24,2.108187390879692
2025-08-04,00–12,-0.06186264002599273
2025-08-04,12–24,0.600548839793305
2025-08-05,00–12,1.6474524582079937
2025-08-05,12–24,1.901562930892112
2025-08-06,00–12,1.6218613674425058
2025-08-06,12–24,2.6932966785147983
2025-08-07,00–12,2.0062626765673883
2025-08-07,12–24,2.868871672574187
2025-08-08,00–12,2.0256892120013106
2025-08-08,12–24,3.0486244202469095
2025-08-09,00–12,1.4790825357012807
2025-08-09,12–24,1.7225368704774269
2025-08-10,00–12,1.6679290516990761
2025-08-10,12–24,1.1067956047995153
2025-08-11,00–12,0.825758438061996
2025-08-11,12–24,1.5536442393265872
2025-08-12,00–12,0.8315462077212032
2025-08-12,12–24,1.0928956452612226
2025-08-13,00–12,1.3192267447315942
2025-08-13,12–24,2.21099354810778
2025-08-14,00–12,1.6695692485391191
2025-08-14,12–24,2.0509860926877934
2025-08-15,00–12,1.3047673134906859
2025-08-15,12–24,0.9301527974979251
2025-08-16,00–12,0.1864049478953973
2025-08-16,12–24,1.7455582991461824
2025-08-17,00–12,2.2804383139192055
2025-08-17,12–24,3.1458901435431983
2025-08-18,00–12,2.2705520489909077
2025-08-18,12–24,0.9926657979303855
2025-08-19,00–12,1.5207101917731052
2025-08-19,12–24,1.5185840659499092
2025-08-20,00–12,1.680095516295296
2025-08-20,12–24,1.83206181124649
2025-08-21,00–12,1.2548264189702252
2025-08-21,12–24,2.3101440688601826
2025-08-22,00–12,1.593913020005516
2025-08-22,12–24,3.0810784152443773
2025-08-23,00–12,2.7139297601709984
2025-08-23,12–24,3.5703219400595003
2025-08-24,00–12,1.6357919923383974
2025-08-24,12–24,0.9273444916838116
2025-08-25,00–12,0.006397740560004195
2025-08-25,12–24,0.34735945424731085
2025-08-26,00–12,1.610443029524987
2025-08-26,12–24,1.8294042627624094
2025-08-27,00–12,1.5799338142551846
2025-08-27,12–24,1.4515416158004086
2025-08-28,00–12,1.481685462203501
2025-08-28,12–24,1.7038053875926948
2025-08-29,00–12,1.2076217511184097
2025-08-29,12–24,1.156982736454296
2025-08-30,00–12,1.1322717027630063
2025-08-30,12–24,2.300728772196777
2025-08-31,00–12,1.934944466225602
2025-08-31,12–24,2.3797247747682206
2025-09-01,00–12,0.5917184457395877
2025-09-01,12–24,2.56965698098341
2025-09-02,00–12,2.0068343559077846
2025-09-02,12–24,2.5138351462350954
2025-09-03,00–12,1.523847594342925
2025-09-03,12–24,1.362169283944695
2025-09-04,00–12,1.442325574052603
2025-09-04,12–24,1.2438658030967815
2025-09-05,00–12,1.4753740059829141
2025-09-05,12–24,1.4670925821591965
2025-09-06,00–12,1.4116079482021036
2025-09-06,12–24,1.734483478988892
2025-09-07,00–12,0.9333898018500975
2025-09-07,12–24,1.934858818462601
2025-09-08,00–12,1.447162316911502
2025-09-08,12–24,2.1246640891962016
2025-09-09,00–12,1.9040546928474953
2025-09-09,12–24,3.0843672374031
2025-09-10,00–12,3.044314012564598
2025-09-10,12–24,2.6841121872660096
2025-09-11,00–12,0.9788684263497913
2025-09-11,12–24,2.3582227058013103
2025-09-12,00–12,1.4049676271258988
2025-09-12,12–24,2.94283639024475
2025-09-13,00–12,1.9662289507403017
2025-09-13,12–24,2.2147329855329474
2025-09-14,00–12,1.540792152276623
2025-09-14,12–24,1.7625879553962704
2025-09-15,00–12,0.669688816761365
2025-09-15,12–24,2.1773315761515875
2025-09-16,00–12,1.3070952221899432
2025-09-16,12–24,2.2202661365165994
2025-09-17,00–12,1.6436163250890274
2025-09-17,12–24,2.2184286245500573
2025-09-18,00–12,2.3476586771056276
2025-09-18,12–24,2.151405988612069
2025-09-19,00–12,0.9858838953772562
2025-09-19,12–24,1.6314080677990148
2025-09-20,00–12,-0.25294842352408864
2025-09-20,12–24,1.2362934132844288
2025-09-21,00–12,1.1485019598383133
2025-09-21,12–24,1.8569153731843215
2025-09-22,00–12,1.3127714580057699
2025-09-22,12–24,1.8457930418167479
2025-09-23,00–12,1.3922287896428358
2025-09-23,12–24,2.4545986735339795
2025-09-24,00–12,1.60015575950721
2025-09-24,12–24,2.895094772608495
2025-09-25,00–12,0.49939495764957087
2025-09-25,12–24,1.9211339593490635
2025-09-26,00–12,0.9408231665481992
2025-09-26,12–24,1.36023701706457
2025-09-27,00–12,1.0687093906721614
2025-09-27,12–24,0.871990420409908
2025-09-28,00–12,0.7110397772339994
2025-09-28,12–24,-0.2516902823003804
2025-09-29,00–12,1.37326067061057
2025-09-29,12–24,1.2568708178974077
2025-09-30,00–12,0.9192191284422009
2025-09-30,12–24,2.119716563698752
2025-10-01,00–12,0.7979389892481734
2025-10-01,12–24,1.5023169089907995
2025-10-02,00–12,0.40465570886851054
2025-10-02,12–24,1.5470923422384644
2025-10-03,00–12,1.7465493371664493
2025-10-03,12–24,1.8306738220757097
2025-10-04,00–12,1.862639774543922
2025-10-04,12–24,4.758765386673481
2025-10-05,00–12,0.8091460126043302
2025-10-05,12–24,0.0006196550318016136
2025-10-06,00–12,0.03987519960839947
2025-10-06,12–24,0.17176958794397734
2025-10-07,00–12,-0.04239995386465978
2025-10-07,12–24,0.777410054894883
2025-10-08,00–12,0.5630723608845081
2025-10-08,12–24,0.7929831773358309
2025-10-09,00–12,2.3549187242627383
2025-10-09,12–24,2.6916259429817906
2025-10-10,00–12,0.14099396784855145
2025-10-10,12–24,0.3053453087128588
2025-10-11,00–12,0.025331875269991144
2025-10-11,12–24,-0.020771019496670817
2025-10-12,00–12,0.07976590754687862
2025-10-12,12–24,0.014320112087901293
2025-10-13,00–12,0.10557958609732054
2025-10-13,12–24,1.468539676758148
2025-10-14,00–12,0.5909816514477022
2025-10-14,12–24,-0.4033491076229616
2025-10-15,00–12,-0.06323573421942896
2025-10-15,12–24,0.9294260485921804
2025-10-16,00–12,0.5648658255731682
2025-10-16,12–24,0.6099223888599603
2025-10-17,00–12,0.17195148897997115
2025-10-17,12–24,2.348480897665249
2025-10-18,00–12,0.43132205754634967
2025-10-18,12–24,0.6300034107328614
2025-10-19,00–12,0.6013657748755694
2025-10-19,12–24,0.04691846614121076
2025-10-20,00–12,-0.10978067087892995
2025-10-20,12–24,0.1609595796142287
2025-10-21,00–12,0.5934394360321011
2025-10-21,12–24,0.16738807088566965
2025-10-22,00–12,0.39703193444272067
2025-10-22,12–24,0.3979621643378586
2025-10-23,00–12,0.3760169141551799
2025-10-23,12–24,0.23233546413938022
2025-10-24,00–12,0.5144324810317098
2025-10-24,12–24,0.0583928578313504
2025-10-25,00–12,0.2919173690034178
2025-10-25,12–24,0.563581851966342
2025-10-26,00–12,0.741944923440343
2025-10-26,12–24,0.5315691611389326
2025-10-27,00–12,-0.4014320329393559
2025-10-27,12–24,0.8921338364706761
2025-10-28,00–12,0.8581987790372532
2025-10-28,12–24,1.0294189812128165
2025-10-29,00–12,0.04267479878873548
2025-10-29,12–24,-0.0002641710101176642
2025-10-30,00–12,0.4206083586145919
2025-10-30,12–24,0.19692674628123452
